epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,0.18659648357166184,0.01,0.01274667243576712,0.1862891636788845,0.01155776004306972
1,0.18416817519399856,0.01,0.011426208608059419,0.1862891659140587,0.011557759903371333
2,0.18416816525989108,0.01,0.011426168887151613,0.18628916293382644,0.011557759996503592
3,0.184168165591028,0.01,0.011426168892325627,0.1862891621887684,0.01155776008963585
4,0.18416816575659645,0.01,0.011426168881977597,0.18628916665911674,0.01155776008963585
5,0.18416816434926456,0.01,0.011426168907847669,0.18628915920853614,0.011557759996503592
6,0.18416816492875418,0.01,0.011426168881977597,0.18628916293382644,0.01155776004306972
7,0.18416816434926456,0.01,0.011426168887151613,0.1862891621887684,0.01155776004306972
8,0.18416816650165452,0.01,0.011426168881977597,0.18628916442394255,0.01155776004306972
9,0.18416816484596993,0.01,0.011426168902673655,0.18628916144371033,0.011557759949937463
